['blobDetector_multi-6e21313b-486d-4c62-8d27-a072d7114857', 'processing', 'memory', 'tcp://10.21.255.70:36806', 47404296468224, [['compute', 1533014627.8454807, 1533014808.2466247]]]
['blobDetector_multi-efcfb75f-5568-49b1-8d20-8c6e483df115', 'processing', 'memory', 'tcp://10.21.255.63:43815', 48003981543168, [['compute', 1533014627.8649104, 1533014808.2762845]]]
['blobDetector_multi-7fdc1dd8-c060-4bed-a7f0-0a1e691acfe0', 'processing', 'memory', 'tcp://10.21.255.53:34389', 47145055188736, [['compute', 1533014627.8487105, 1533014808.2925546]]]
['blobDetector_multi-282b9cbb-b6f7-4200-b905-1458602dc80c', 'processing', 'memory', 'tcp://10.21.255.53:44773', 47144853600000, [['compute', 1533014627.8365252, 1533014808.297743]]]
['blobDetector_multi-bc0865c7-63a5-4721-8e88-b8355713dcdb', 'processing', 'memory', 'tcp://10.21.255.48:46445', 46966142695168, [['compute', 1533014627.855819, 1533014808.370658]]]
['blobDetector_multi-36fd1335-b15d-4d75-9575-9d3e58df6b50', 'processing', 'memory', 'tcp://10.21.255.63:34147', 48005591881472, [['compute', 1533014627.8393946, 1533014808.4700446]]]
['blobDetector_multi-72214817-87c8-43f2-a4a6-faecc90aa584', 'processing', 'memory', 'tcp://10.21.255.70:42940', 47401075242752, [['compute', 1533014627.846499, 1533014808.472122]]]
['blobDetector_multi-23030ecd-f54b-4485-9d8d-a4a99e00e74e', 'processing', 'memory', 'tcp://10.21.255.53:39115', 47146867914496, [['compute', 1533014627.835667, 1533014808.7235677]]]
['blobDetector_multi-fe43dff8-c0ad-420c-9c0e-2ff618978787', 'processing', 'memory', 'tcp://10.21.255.70:45284', 47403491424000, [['compute', 1533014627.863783, 1533014808.7497349]]]
['blobDetector_multi-0831c33d-c1e5-4fd2-b03d-7b8b9f6e6548', 'processing', 'memory', 'tcp://10.21.255.48:39424', 46965941368576, [['compute', 1533014627.8320804, 1533014808.8155675]]]
['blobDetector_multi-e01e23d2-4903-46ac-acf0-1855e14999ca', 'processing', 'memory', 'tcp://10.21.255.48:39251', 46964530218752, [['compute', 1533014627.8598635, 1533014809.0450044]]]
['blobDetector_multi-f3d938c0-84eb-4d36-9fc0-6b95345735f2', 'processing', 'memory', 'tcp://10.21.255.63:46456', 48005189236480, [['compute', 1533014627.8628786, 1533014809.0593724]]]
['blobDetector_multi-6c8c7eae-9cc5-49ea-88ee-325467b8b4cb', 'processing', 'memory', 'tcp://10.21.255.70:34248', 47401880549120, [['compute', 1533014627.8451514, 1533014809.1948543]]]
['blobDetector_multi-b8905904-7154-49e8-8027-6caa4038535c', 'processing', 'memory', 'tcp://10.21.255.70:35237', 47404497803008, [['compute', 1533014627.85492, 1533014809.243007]]]
['blobDetector_multi-5a8c6950-5462-4f74-81de-c7c325200ffa', 'processing', 'memory', 'tcp://10.21.255.68:37921', 47750175553280, [['compute', 1533014627.8438637, 1533014809.2967536]]]
['blobDetector_multi-3c43a514-f0b1-4121-bcb1-110028ddd028', 'processing', 'memory', 'tcp://10.21.255.63:41674', 48002370664192, [['compute', 1533014627.8401604, 1533014809.5949652]]]
['blobDetector_multi-321fa2b7-8e7e-4d8f-bdc1-0e79302fdca9', 'processing', 'memory', 'tcp://10.21.255.58:41065', 47397317146368, [['compute', 1533014627.8386912, 1533014809.6670783]]]
['blobDetector_multi-fc568017-2717-4e67-b7a1-74536881014c', 'processing', 'memory', 'tcp://10.21.255.70:44021', 47403692488448, [['compute', 1533014627.8633256, 1533014809.9663637]]]
['blobDetector_multi-d94068fb-d239-4af1-9e6a-3e36bd27f764', 'processing', 'memory', 'tcp://10.21.255.70:39256', 47402082137856, [['compute', 1533014627.8589482, 1533014810.1726453]]]
['blobDetector_multi-b26e262f-0c25-42b8-8818-0c530a601b92', 'processing', 'memory', 'tcp://10.21.255.63:35336', 48003377297152, [['compute', 1533014627.8541734, 1533014810.3995445]]]
['blobDetector_multi-6f0be442-a4ce-4fa4-a07b-0a2c5e6ae43e', 'processing', 'memory', 'tcp://10.21.255.70:40016', 47403289835264, [['compute', 1533014627.8458607, 1533014810.4139047]]]
['blobDetector_multi-fa99012d-821e-40e6-b877-e769d89f78d3', 'processing', 'memory', 'tcp://10.21.255.70:40206', 47404900443904, [['compute', 1533014627.8633459, 1533014810.4359858]]]
['blobDetector_multi-0a374cb2-849c-45e2-a271-b24a17070838', 'processing', 'memory', 'tcp://10.21.255.48:44951', 46964532082432, [['compute', 1533014627.832741, 1533014810.498577]]]
['blobDetector_multi-3b0ec1a5-d972-430a-bdb9-028dea7eba38', 'processing', 'memory', 'tcp://10.21.255.63:37616', 48003779950336, [['compute', 1533014627.8395534, 1533014810.6009943]]]
['blobDetector_multi-c42900b0-2417-4550-ad35-f302e316ca9b', 'processing', 'memory', 'tcp://10.21.255.68:46194', 47748564940544, [['compute', 1533014627.8566968, 1533014810.6493008]]]
['blobDetector_multi-721e9cb7-a4df-430c-9924-9d35869f02a1', 'processing', 'memory', 'tcp://10.21.255.70:42214', 47403893815040, [['compute', 1533014627.8463333, 1533014810.9490433]]]
['blobDetector_multi-1ec4eb37-5910-4b52-aac1-32373c32eacc', 'processing', 'memory', 'tcp://10.21.255.53:36716', 47147873498880, [['compute', 1533014627.8353894, 1533014810.9514093]]]
['blobDetector_multi-21617a93-a565-42e6-8ad1-a37065d67d6e', 'processing', 'memory', 'tcp://10.21.255.53:38640', 47145860224768, [['compute', 1533014627.835499, 1533014810.9794369]]]
['blobDetector_multi-30c08693-1caf-4be9-8639-bc3a79c7c749', 'processing', 'memory', 'tcp://10.21.255.58:39655', 47397116081920, [['compute', 1533014627.838228, 1533014811.051499]]]
['blobDetector_multi-43e4a07a-4e2b-4ca0-8a35-81a04e327214', 'processing', 'memory', 'tcp://10.21.255.67:32791', 47465231316736, [['compute', 1533014627.8411605, 1533014811.3085556]]]
['blobDetector_multi-e69b1465-7925-47ff-bbf3-ba9b14f458f4', 'processing', 'memory', 'tcp://10.21.255.67:36183', 47467446171392, [['compute', 1533014627.86057, 1533014811.323214]]]
['blobDetector_multi-3af70aee-be2a-412c-ac04-663d60668d71', 'processing', 'memory', 'tcp://10.21.255.63:36260', 48004585256704, [['compute', 1533014627.8393896, 1533014811.3815687]]]
['blobDetector_multi-994cf0a8-39f7-4791-95e2-51b03d3a92de', 'processing', 'memory', 'tcp://10.21.255.67:44812', 47465633969920, [['compute', 1533014627.851017, 1533014811.425683]]]
['blobDetector_multi-3b96b94c-f58d-4178-94dc-6c5c3f667474', 'processing', 'memory', 'tcp://10.21.255.63:39772', 48003578623744, [['compute', 1533014627.8396804, 1533014811.6065373]]]
['blobDetector_multi-4276c8c7-8aa9-4d57-b188-b02765b70193', 'processing', 'memory', 'tcp://10.21.255.63:46362', 48002571990784, [['compute', 1533014627.840809, 1533014811.670821]]]
['blobDetector_multi-713dcb13-ceb4-4fda-bc12-392c2aede953', 'processing', 'memory', 'tcp://10.21.255.70:41537', 47401276569344, [['compute', 1533014627.846172, 1533014811.6952553]]]
