CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000071,Euclidean_dist_10797_107961,-48.9834499359,79.912250042,80.1156451702,80.3178989887,329.405991077,330.616361141
unit.000072,Euclidean_dist_10797_113359,-48.9796378613,133.245504141,133.443539143,281.034511089,531.998145103,532.878310204
unit.000073,Euclidean_dist_10797_118757,-48.9774239063,138.305109978,138.508421183,283.178649187,538.070294142,539.530625105
unit.000074,Euclidean_dist_10797_124155,-48.9752278328,7.62403702736,7.83108997345,8.0288901329,261.299463987,262.376258135
unit.000075,Euclidean_dist_10797_129553,-48.9727458954,82.065349102,82.2695271969,82.4718120098,336.219411135,337.308116198
unit.000076,Euclidean_dist_10797_134951,-48.9685189724,6.20239210129,6.40279316902,6.60328102112,263.268198013,264.60443306
unit.000077,Euclidean_dist_10797_140349,-48.9663648605,83.564961195,83.7695851326,143.586192131,391.91704917,392.874958038
unit.000078,Euclidean_dist_16195_16195,-48.9641678333,84.3632340431,84.5668771267,150.019359112,285.775205135,286.730754137
unit.000079,Euclidean_dist_16195_21593,-48.9612798691,84.7661480904,84.9696910381,155.23313117,402.792330027,403.929527044
unit.000080,Euclidean_dist_16195_26991,-48.9590740204,20.0837571621,20.2913451195,20.4908339977,271.850833178,273.240081072
unit.000081,Euclidean_dist_16195_32389,-48.9527540207,21.5115580559,21.7748601437,21.9244849682,289.366607189,291.103604078
unit.000082,Euclidean_dist_16195_37787,-48.9505360126,23.5492401123,23.8087160587,23.9625220299,276.53828907,278.566308022
unit.000083,Euclidean_dist_16195_43185,-48.9483668804,87.4259421825,87.5801391602,163.308287144,412.168220043,413.357570171
unit.000084,Euclidean_dist_16195_48583,-48.9461159706,26.8079750538,27.0160369873,27.2236521244,288.674620152,290.012849092
unit.000085,Euclidean_dist_16195_53981,-48.9436459541,28.6409981251,28.8477611542,29.0500781536,287.084283113,288.925486088
