,Duration,Framework,Nodes
942,6302,Spark,4
943,6309,Spark,4
944,6314,Spark,4
945,6323,Spark,4
946,6327,Spark,4
947,6335,Spark,4
948,6342,Spark,4
949,6375,Spark,4
950,6395,Spark,4
951,6411,Spark,4
952,6418,Spark,4
953,6416,Spark,4
954,6421,Spark,4
955,6422,Spark,4
956,6421,Spark,4
957,6426,Spark,4
958,6431,Spark,4
959,6434,Spark,4
960,6438,Spark,4
961,6442,Spark,4
962,6449,Spark,4
963,6452,Spark,4
964,6457,Spark,4
965,6460,Spark,4
966,6457,Spark,4
967,6462,Spark,4
968,6475,Spark,4
969,6482,Spark,4
970,6485,Spark,4
971,6486,Spark,4
972,6536,Spark,4
973,6539,Spark,4
974,6541,Spark,4
975,6549,Spark,4
976,6553,Spark,4
977,6558,Spark,4
978,6565,Spark,4
979,6556,Spark,4
980,6558,Spark,4
981,6585,Spark,4
982,6573,Spark,4
983,6575,Spark,4
984,6568,Spark,4
985,6596,Spark,4
986,6586,Spark,4
987,6590,Spark,4
988,6595,Spark,4
989,6595,Spark,4
990,6597,Spark,4
991,6588,Spark,4
992,6599,Spark,4
993,6603,Spark,4
994,6604,Spark,4
995,6604,Spark,4
996,6611,Spark,4
997,6614,Spark,4
998,6616,Spark,4
999,6618,Spark,4
1000,6662,Spark,4
1001,6687,Spark,4
1002,6753,Spark,4
1003,6775,Spark,4
1004,6786,Spark,4
1005,7026,Spark,4
1006,7076,Spark,4
1007,7212,Spark,4
1008,6000,Spark,4
1009,6030,Spark,4
1010,6039,Spark,4
1011,6046,Spark,4
1012,6052,Spark,4
1013,6056,Spark,4
1014,6058,Spark,4
1015,6061,Spark,4
1016,6068,Spark,4
1017,6071,Spark,4
1018,6077,Spark,4
1019,6084,Spark,4
1020,6087,Spark,4
1021,6091,Spark,4
1022,6092,Spark,4
1023,6099,Spark,4
1024,6101,Spark,4
1025,6105,Spark,4
1026,6111,Spark,4
1027,6115,Spark,4
1028,6119,Spark,4
1029,6125,Spark,4
1030,6154,Spark,4
1031,6159,Spark,4
1032,6143,Spark,4
1033,6146,Spark,4
1034,6151,Spark,4
1035,6181,Spark,4
1036,6202,Spark,4
1037,6205,Spark,4
1038,6214,Spark,4
1039,6217,Spark,4
1040,6218,Spark,4
1041,6224,Spark,4
1042,6225,Spark,4
1043,6231,Spark,4
1044,6235,Spark,4
1045,6242,Spark,4
1046,6250,Spark,4
1047,6252,Spark,4
1048,6264,Spark,4
1049,6267,Spark,4
1050,6291,Spark,4
1051,6306,Spark,4
1052,6315,Spark,4
1053,6321,Spark,4
1054,6387,Spark,4
1055,6390,Spark,4
1056,6394,Spark,4
1057,6394,Spark,4
1058,6408,Spark,4
1059,6477,Spark,4
1060,6479,Spark,4
1061,6486,Spark,4
1062,6494,Spark,4
1063,6491,Spark,4
1064,6502,Spark,4
1065,6505,Spark,4
1066,6501,Spark,4
1067,6509,Spark,4
1068,6513,Spark,4
1069,6514,Spark,4
1070,6525,Spark,4
1071,6533,Spark,4
1072,6559,Spark,4
1073,6554,Spark,4
1074,6545,Spark,4
1075,6558,Spark,4
1076,6559,Spark,4
1077,6571,Spark,4
1078,6581,Spark,4
