['watershed_multi-8fb50245-148f-44cf-9f0a-07d8590dac7d', 'processing', 'memory', 'tcp://10.21.251.26:38814', 47880836511488, [['deserialize', 1527361494.071698, 1527361496.903458], ['compute', 1527361496.9028118, 1527363953.5233078]]]
['watershed_multi-4b83d050-54b9-4755-a004-156d79047136', 'processing', 'memory', 'tcp://10.21.251.27:43158', 47950361540352, [['deserialize', 1527361494.065675, 1527361499.795015], ['compute', 1527361499.795456, 1527363953.935972]]]
['watershed_multi-aa822844-71ec-4e29-bd4f-b1aca07ae558', 'processing', 'memory', 'tcp://10.21.251.2:44164', 46949499696896, [['deserialize', 1527361494.073471, 1527361496.987995], ['compute', 1527361496.989224, 1527363956.3975182]]]
['watershed_multi-457d6e69-115f-4900-8ceb-38cff5b0d8e4', 'processing', 'memory', 'tcp://10.21.251.27:39720', 47950159980288, [['deserialize', 1527361494.065111, 1527361499.817628], ['compute', 1527361499.818391, 1527363956.735879]]]
['watershed_multi-b4fd823d-bb47-4ae4-bf1d-229d87350497', 'processing', 'memory', 'tcp://10.21.251.26:42090', 47882447124224, [['deserialize', 1527361494.074418, 1527361496.854701], ['compute', 1527361496.8542573, 1527363956.7473965]]]
['watershed_multi-631ee2ad-2cfe-4861-85b2-b2f5e5a7a3f7', 'processing', 'memory', 'tcp://10.21.251.2:39349', 46951311640320, [['deserialize', 1527361494.067825, 1527361496.846232], ['compute', 1527361496.8455842, 1527363956.758598]]]
['watershed_multi-8f0054bd-12cd-44b6-9eb2-e9e5011c01cf', 'processing', 'memory', 'tcp://10.21.251.26:34078', 47883051104000, [['deserialize', 1527361494.07214, 1527361496.820669], ['compute', 1527361496.820389, 1527363958.108403]]]
['watershed_multi-4804244e-f517-4656-9283-69f1bf3ac342', 'processing', 'memory', 'tcp://10.21.251.27:43057', 47949757290240, [['deserialize', 1527361494.065417, 1527361500.054556], ['compute', 1527361500.055187, 1527363958.244715]]]
['watershed_multi-9330d479-7977-4ff2-b9a4-ef3c1f7d37db', 'processing', 'memory', 'tcp://10.21.251.26:41994', 47881037838080, [['deserialize', 1527361494.071861, 1527361496.884825], ['compute', 1527361496.8850393, 1527363958.964975]]]
['watershed_multi-a31a877f-7eb7-4c1d-ba8a-c20b48f0a21d', 'processing', 'memory', 'tcp://10.21.251.2:42048', 46951512971008, [['deserialize', 1527361494.073424, 1527361496.844436], ['compute', 1527361496.8457658, 1527363959.0135686]]]
['watershed_multi-d90fb9fd-51ad-46f7-8861-a01fd90693e7', 'processing', 'memory', 'tcp://10.21.251.27:37774', 47948750681856, [['deserialize', 1527361494.076327, 1527361500.4106], ['compute', 1527361500.451031, 1527363959.022124]]]
['watershed_multi-430697b5-ac8b-42c3-b4dc-4f8dc68f54fe', 'processing', 'memory', 'tcp://10.21.251.27:38129', 47947542722304, [['deserialize', 1527361494.064894, 1527361499.843554], ['compute', 1527361499.8439453, 1527363959.598417]]]
['watershed_multi-9fcd85be-2197-4fde-9774-8b54bf8e73ac', 'processing', 'memory', 'tcp://10.21.251.27:44466', 47950562625280, [['deserialize', 1527361494.071645, 1527361499.88715], ['compute', 1527361499.887501, 1527363961.868335]]]
['watershed_multi-995fa3f2-e7ea-4da3-bd53-ce7dfdba11d9', 'processing', 'memory', 'tcp://10.21.251.27:37422', 47947341395712, [['deserialize', 1527361494.071324, 1527361500.136095], ['compute', 1527361500.1493654, 1527363966.4636314]]]
['watershed_multi-9d634fe6-7464-4a6e-9e62-430f00fae7ea', 'processing', 'memory', 'tcp://10.21.251.27:39894', 47947140069120, [['deserialize', 1527361494.071459, 1527361499.944119], ['compute', 1527361499.9449158, 1527363968.4146528]]]
